Svarstext,From,Tom
Ganska lätt,2006,
Ganska missnöjd,2006,
Ganska nöjd,2006,
Ganska svårt,2006,
Ganska sällan,2006,
"Genom att använda sig av sin ställning, prestige eller order",2006,
Genom att diskutera och förhandla,2006,
Halva tiden,2006,
Har eget rum,2006,
Har ingen arbetsgrupp,2010,
Hela eller i stort sett hela arbetstiden,2006,
Helt av annan åsikt,2006,
Helt av samma åsikt,2006,
Helt betydelselös,2006,
Heltid,2006,
Håller delvis med,2006,
Håller helt med,2006,
Håller inte alls med,2006,
Högre,2010,
I ganska hög grad,2006,
I hög grad,2006,
I liten grad,2006,
I mycket hög grad,2006,
I mycket liten grad,2006,
I mycket liten grad/inte alls,2006,
I ringa grad,2006,
Ibland,2006,
Ingen gång,2006,
Instämmer,2006,
Instämmer men jag upplever det inte alls som en belastning,2006,
Instämmer och jag upplever det i hög grad som en belastning,2006,
Instämmer och jag upplever det i mycket hög grad som en belastning,2006,
Instämmer och jag upplever det i viss mån som en belastning,2006,
Inte aktuellt,2014,
Inte alls,2006,
Inte alls de sista 12 månaderna,2006,
"Inte alls, sällan de sista 3 månaderna",2008,
Inte alls/Sällan de sista 3 månaderna,2006,
Ja,2006,
Ja i mycket hög grad,2014,
"Ja, 2-3 gånger",2006,
"Ja, 4 gånger eller mer",2006,
"Ja, datorn registrerar det mesta jag gör",2006,
"Ja, det finns en viss datoriserad registering",2006,
"Ja, det påverkar mitt liv lite",2012,
"Ja, det påverkar mitt liv mycket",2012,
"Ja, en eller flera ggr/månad",2012,
"Ja, en eller flera ggr/vecka",2012,
"Ja, en gång",2006,
"Ja, ganska stor",2006,
"Ja, högre",2014,
"Ja, i hög grad",2014,
"Ja, i liten grad",2016,
"Ja, i liten grand",2014,
"Ja, ibland",2006,
"Ja, jag är arbetsledare men inte chef",2012,
"Ja, jag är chef med personalansvar",2012,
"Ja, jag är chef utan personalansvar",2012,
"Ja, jag är nöjd",2006,
"Ja, lägre",2014,
"Ja, men det påverkar inte alls mitt liv",2012,
"Ja, men påverkar inte alls mitt liv",2008,
"Ja, någon gång de senaste 6 månaderna",2012,
"Ja, ofta",2006,
"Ja, på annat sätt relativt fria arbetstider",2006,
"Ja, påverkar mitt liv lite",2008,
"Ja, påverkar mitt liv mycket",2008,
"Ja, stor",2006,
Kommunen,2006,
Kvällsarbete (ca 18–22),2006,
Landsting/Region,2008,
Landstinget/Regionen,2006,
Lantbrukare,2010,
Ledarskap och din närmaste chef,2006,
"Lite, kanske 1/10 av tiden",2006,
Lägga ned verksamheten,2006,
Lägre,2010,
"Lön med tillägg, som är kopplat till arbetsgrupps resultat, t ex ackordslön",2006,
"Lön med tillägg, som är kopplat till eget resultat, t ex ackordslön, prestationslön",2006,
"Lön med tillägg, som är kopplat till företagets resultat",2006,
Lön som är kopplad till OB-ersättningar (inklusive jourersättning),2006,
Man försöker inte lösa dem alls,2006,
Missing,2006,
Mycket betydelsefull,2006,
Mycket bra,2006,
Mycket dålig,2006,
Mycket dåligt,2006,
Mycket god,2006,
Mycket högre,2008,
Mycket lägre,2008,
Mycket lätt,2006,
Mycket mindre,2006,
Mycket missnöjd,2006,
Mycket nöjd,2006,
Mycket ofta,2006,
Mycket större,2006,
Mycket svårt,2006,
Mycket sällan,2006,
Nattarbete (ca 18–06),2006,
Nej,2006,
Nej inga sådana planer,2006,
"Nej, aldrig",2014,
"Nej, ganska liten",2006,
"Nej, ingen gång",2006,
"Nej, ingen gång (ej aktuellt)",2012,
"Nej, inte alls",2006,
"Nej, jag skulle vilja arbeta fler timmar per vecka",2006,
"Nej, jag skulle vilja arbeta färre timmar per vecka",2006,
"Nej, jag är missnöjd med arbetsplatsen",2006,
"Nej, jag är missnöjd med företaget/arbetsplatsen",2010,
"Nej, jag är missnöjd med yrket",2006,
"Nej, kan i allmänhet inte påverka arbetstiden",2006,
"Nej, liten",2006,
"Nej, men jag är nöjd just nu",2006,
"Nej, oförändrad",2014,
"Nej, sällan",2006,
"Nej, så gott som aldrig/aldrig",2006,
Nästan aldrig/Aldrig (rapporterar inte),2006,
Nästan hela tiden,2006,
Någon enstaka gång under året,2006,
Någon gång de sista 12 månaderna,2006,
Någon gång i veckan eller oftare,2006,
Någon gång per månad,2006,
Någon gång per vecka,2006,
Någon gång per år,2006,
Något högre,2008,
Något lägre,2008,
Något mindre,2006,
Något större,2006,
Några gånger de sista 3 månaderna,2006,
Några gånger per månad,2006,
Några gånger per vecka,2006,
Några gånger per år eller mindre/Aldrig,2006,
Några timmar i veckan,2006,
Ofta,2006,
Oförändrad,2008,
"Patienter, kunder, klienter, passagerare, elever",2006,
Privat företag,2006,
Projektanställning,2006,
Rapporterar på annat sätt,2006,
Ren (100 %) prestationslön,2006,
Resurser och bemanning,2006,
"Skiftarbete, ej natt",2008,
"Skiftarbete, inklusive natt",2008,
"Skiftarbete, treskift",2006,
"Skiftarbete, tvåskift",2006,
Skära ned verksamheten,2006,
Staten,2006,
Stämmer ganska bra,2006,
Stämmer helt,2006,
Stämmer helt och hållet,2006,
Stämmer inte alls,2006,
Stämmer inte särskilt bra,2006,
Stämmer knappast,2006,
Stämmer nästan,2006,
Sällan,2006,
Särskilda veckor,2006,
Tillsvidareanställning/Fast anställning,2010,
Tillsvidareanställning/fast anställning,2006,
Timanställd/varierande anställning,2012,
Timanställning,2010,
Timanställning (under 20 timmar/vecka),2006,
Tjänsteman,2006,
Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema),2006,
"Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema), ej natt",2008,
"Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema), inklusive natt",2008,
Två till tre gånger,2006,
Ungefär 1/4 av tiden,2006,
Ungefär 3/4 av tiden,2006,
Ungefär genomsnittlig,2006,
Utöka verksamheten,2006,
Varje dag,2006,
Varken av samma el. annan åsikt,2006,
Varken bra eller dåligt,2006,
Varken god eller dålig,2006,
Vet ej,2006,
Vet inte,2006,
Vi är totalt 10-24 personer som delar rum,2010,
Vi är totalt 2-3 personer som delar rum,2010,
Vi är totalt 4-9 personer som delar rum,2010,
Vikariat,2006,
Visstidsanställning/Projektanställning,2010,
"a, har flextid (dvs. arbetstid som inte börjar eller slutar på exakta klockslag)",2006,
slak,2014,
slask,2006,
