Variabel,Enkät,Beskrivning,Dubbelkodning,Itemnr,Enkättext,Kodlista
annatarb_5,SLOSH 14 working,,,21_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,8
annatarb_6,SLOSH 16 working,,,20_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,9
annatarb_7,SLOSH 18 working,,,18_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Risk för att du mot din vilja flyttas till annat arbete,10
permitte_1,SLOSH 06 working,,,A1_h,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,1
permitte_2,SLOSH 08 working,,1.0,5_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,1
permitte_2,SLOSH 08 non-working,,1.0,5_a,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,1
permitte_3,SLOSH 10 working,,,15_b,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,7
permitte_4,SLOSH 12 working,,,15_b,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,7
permitte_5,SLOSH 14 working,,,21_b,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,8
permitte_6,SLOSH 16 working,,,20_b,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,10
permitte_7,SLOSH 18 working,,,18_b,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,10
besttide_1,SLOSH 06 working,,,A2_a,Kan du delvis själv bestämma när olika arbetsuppgifter skall göras (t ex genom att välja att jobba lite fortare vissa dagar och ta det lite lugnare andra dagar)?,11
besttide_2,SLOSH 08 working,,,11_a,Kan du delvis själv bestämma när olika arbetsuppgifter skall göras (t ex genom att välja att jobba lite fortare vissa dagar och ta det lite lugnare andra dagar)?,11
bestuppl_1,SLOSH 06 working,,,A2_b,"Händer det att du är med och beslutar om uppläggningen av ditt arbete (t.ex. vad som skall göras, hur det skall göras eller vilka som skall arbeta tillsammans med dig)?",11
bestuppl_2,SLOSH 08 working,,,11_b,"Händer det att du är med och beslutar om uppläggningen av ditt arbete (t.ex. vad som skall göras, hur det skall göras eller vilka som skall arbeta tillsammans med dig)?",11
cheferst_1,SLOSH 06 working,,,A2_c,"Har du möjlighet att få stöd och uppmuntran från chefer, när arbetet känns besvärligt?",11
cheferst_2,SLOSH 08 working,,,33_a,"Har du möjlighet att få stöd och uppmuntran från chefer, när arbetet känns besvärligt?",11
kamratst_1,SLOSH 06 working,,,A2_d,"Har du möjlighet att få stöd och uppmuntran från arbetskamrater, när arbetet känns besvärligt?",11
kamratst_2,SLOSH 08 working,,,33_b,"Har du möjlighet att få stöd och uppmuntran från arbetskamrater, när arbetet känns besvärligt?",11
hogtitak_1,SLOSH 06 working,,,A2_e,Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,11
hogtitak_2,SLOSH 08 working,,,11_c,Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,11
hogtitak_3,SLOSH 10 working,,,33,Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,11
hogtitak_4,SLOSH 12 working,,,34,Om synpunkter på arbetsförhållanden @ Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,11
workfast_1,SLOSH 06 working,,,A3_a,Kräver ditt arbete att du arbetar fort?,6
workfast_2,SLOSH 08 working,,1.0,7_a,Kräver ditt arbete att du arbetar mycket fort?,6
workfast_2,SLOSH 08 non-working,,1.0,7_a,Kräver ditt arbete att du arbetar mycket fort?,6
workfast_3,SLOSH 10 working,,,25_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,6
workfast_4,SLOSH 12 working,,1.0,26_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,6
workfast_4,SLOSH 12 non-working,,1.0,26_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,6
workfast_5,SLOSH 14 working,,1.0,31_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,6
workfast_5,SLOSH 14 non-working,,1.0,31_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,6
workfast_6,SLOSH 16 working,,1.0,30_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,12
workfast_6,SLOSH 16 non-working,,1.0,30_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,12
workfast_7,SLOSH 18 working,,1.0,28_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,12
workfast_7,SLOSH 18 non-working,,1.0,28_a,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,12
workhard_1,SLOSH 06 working,,,A3_b,Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_2,SLOSH 08 working,,1.0,7_b,Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_2,SLOSH 08 non-working,,1.0,7_b,Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_3,SLOSH 10 working,,,25_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_4,SLOSH 12 working,,1.0,26_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_4,SLOSH 12 non-working,,1.0,26_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_5,SLOSH 14 working,,1.0,31_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_5,SLOSH 14 non-working,,1.0,31_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,6
workhard_6,SLOSH 16 working,,1.0,30_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,12
workhard_6,SLOSH 16 non-working,,1.0,30_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,12
workhard_7,SLOSH 18 working,,1.0,28_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,12
workhard_7,SLOSH 18 non-working,,1.0,28_b,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,12
workeffo_1,SLOSH 06 working,,,A3_c,Kräver ditt arbete en för stor arbetsinsats?,6
workeffo_2,SLOSH 08 working,,,7_c,Kräver ditt arbete en för stor arbetsinsats?,6
workeffo_3,SLOSH 10 working,,,25_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,6
workeffo_4,SLOSH 12 working,,1.0,26_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,6
workeffo_4,SLOSH 12 non-working,,1.0,26_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,6
workeffo_5,SLOSH 14 working,,1.0,31_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,12
workeffo_5,SLOSH 14 non-working,,1.0,31_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,12
workeffo_6,SLOSH 16 working,,1.0,30_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,12
workeffo_6,SLOSH 16 non-working,,1.0,30_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,12
workeffo_7,SLOSH 18 working,,1.0,28_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,12
workeffo_7,SLOSH 18 non-working,,1.0,28_c,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,12
workothe_1,SLOSH 06 working,,,A3_d,Kräver ditt arbete att du ska leva dig in i andra människors situation?,6
workothe_2,SLOSH 08 working,,,7_d,Kräver ditt arbete att du ska leva dig in i andra människors situation?,6
workothe_3,SLOSH 10 working,,,25_k,Om ditt arbete @ Kräver ditt arbete att du ska leva dig in i andra människors situation?,6
workothe_4,SLOSH 12 working,,1.0,26_j,Om ditt arbete @ Kräver ditt arbete att du ska leva dig in i andra människors situation?,6
workothe_4,SLOSH 12 non-working,,1.0,26_j,Om ditt arbete @ Kräver ditt arbete att du ska leva dig in i andra människors situation?,6
worktime_1,SLOSH 06 working,,,A3_e,Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,6
worktime_2,SLOSH 08 working,,1.0,7_f,Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,6
worktime_2,SLOSH 08 non-working,,1.0,7_f,Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,6
worktime_3,SLOSH 10 working,,,25_e,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,6
worktime_4,SLOSH 12 working,,1.0,26_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,6
worktime_4,SLOSH 12 non-working,,1.0,26_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,6
worktime_5,SLOSH 14 working,,1.0,31_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,12
worktime_5,SLOSH 14 non-working,,1.0,31_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,12
worktime_6,SLOSH 16 working,,1.0,30_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,12
worktime_6,SLOSH 16 non-working,,1.0,30_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,12
worktime_7,SLOSH 18 working,,1.0,28_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,12
worktime_7,SLOSH 18 non-working,,1.0,28_d,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,12
workcntr_1,SLOSH 06 working,,,A3_f,Förekommer det motstridiga krav i ditt arbete?,6
workcntr_2,SLOSH 08 working,,1.0,7_g,Förekommer det motstridiga krav i ditt arbete?,6
workcntr_2,SLOSH 08 non-working,,1.0,7_g,Förekommer det motstridiga krav i ditt arbete?,6
workcntr_3,SLOSH 10 working,,,25_g,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,6
workcntr_4,SLOSH 12 working,,1.0,26_f,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,6
workcntr_4,SLOSH 12 non-working,,1.0,26_f,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,6
workcntr_5,SLOSH 14 working,,1.0,31_e,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,12
workcntr_5,SLOSH 14 non-working,,1.0,31_e,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,12
workcntr_6,SLOSH 16 working,,1.0,30_e,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,12
workcntr_6,SLOSH 16 non-working,,1.0,30_e,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,12
workcntr_7,SLOSH 18 working,,1.0,28_e,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,12
workcntr_7,SLOSH 18 non-working,,1.0,28_e,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,12
worklear_1,SLOSH 06 working,,,A3_g,Får du lära dig nya saker i ditt arbete?,6
worklear_2,SLOSH 08 working,,1.0,7_h,Får du lära dig nya saker i ditt arbete?,6
worklear_2,SLOSH 08 non-working,,1.0,7_h,Får du lära dig nya saker i ditt arbete?,6
worklear_3,SLOSH 10 working,,,25_m,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,6
worklear_4,SLOSH 12 working,,,26_l,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,6
worklear_5,SLOSH 14 working,,,31_i,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,12
worklear_6,SLOSH 16 working,,,30_h,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,6
worklear_7,SLOSH 18 working,,,28_h,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,12
workskil_1,SLOSH 06 working,,,A3_h,Kräver ditt arbete skicklighet?,6
workskil_2,SLOSH 08 working,,1.0,7_i,Kräver ditt arbete skicklighet?,6
workskil_2,SLOSH 08 non-working,,1.0,7_i,Kräver ditt arbete skicklighet?,6
workskil_3,SLOSH 10 working,,,25_h,Om ditt arbete @ Kräver ditt arbete skicklighet?,6
workskil_4,SLOSH 12 working,,1.0,26_g,Om ditt arbete @ Kräver ditt arbete skicklighet?,6
workskil_4,SLOSH 12 non-working,,1.0,26_g,Om ditt arbete @ Kräver ditt arbete skicklighet?,6
workskil_5,SLOSH 14 working,,1.0,31_f,Om ditt arbete @ Kräver ditt arbete skicklighet?,12
workskil_5,SLOSH 14 non-working,,1.0,31_f,Om ditt arbete @ Kräver ditt arbete skicklighet?,12
workskil_6,SLOSH 16 working,,1.0,30_f,Om ditt arbete @ Kräver ditt arbete skicklighet?,12
workskil_6,SLOSH 16 non-working,,1.0,30_f,Om ditt arbete @ Kräver ditt arbete skicklighet?,12
workskil_7,SLOSH 18 working,,1.0,28_f,Om ditt arbete @ Kräver ditt arbete skicklighet?,12
workskil_7,SLOSH 18 non-working,,1.0,28_f,Om ditt arbete @ Kräver ditt arbete skicklighet?,12
workinge_1,SLOSH 06 working,,,A3_i,Kräver ditt arbete påhittighet?,6
workinge_2,SLOSH 08 working,,1.0,7_j,Kräver ditt arbete påhittighet?,6
workinge_2,SLOSH 08 non-working,,1.0,7_j,Kräver ditt arbete påhittighet?,6
workinge_3,SLOSH 10 working,,,25_i,Om ditt arbete @ Kräver ditt arbete påhittighet?,6
workinge_4,SLOSH 12 working,,1.0,26_h,Om ditt arbete @ Kräver ditt arbete påhittighet?,6
workinge_4,SLOSH 12 non-working,,1.0,26_h,Om ditt arbete @ Kräver ditt arbete påhittighet?,6
workinge_5,SLOSH 14 working,,1.0,31_g,Om ditt arbete @ Kräver ditt arbete påhittighet?,12
workinge_5,SLOSH 14 non-working,,1.0,31_g,Om ditt arbete @ Kräver ditt arbete påhittighet?,12
workinge_6,SLOSH 16 working,,1.0,30_g,Om ditt arbete @ Kräver ditt arbete påhittighet?,6
workinge_6,SLOSH 16 non-working,,1.0,30_g,Om ditt arbete @ Kräver ditt arbete påhittighet?,6
workinge_7,SLOSH 18 working,,1.0,28_g,Om ditt arbete @ Kräver ditt arbete påhittighet?,12
workinge_7,SLOSH 18 non-working,,1.0,28_g,Om ditt arbete @ Kräver ditt arbete påhittighet?,12
worksoci_1,SLOSH 06 working,,,A3_j,Kräver ditt arbete stor social kompetens?,6
worksoci_2,SLOSH 08 working,,1.0,7_k,Kräver ditt arbete stor social kompetens?,6
worksoci_2,SLOSH 08 non-working,,1.0,7_k,Kräver ditt arbete stor social kompetens?,6
worksoci_3,SLOSH 10 working,,,25_j,Om ditt arbete @ Kräver ditt arbete stor social kompetens?,6
worksoci_4,SLOSH 12 working,,1.0,26_i,Om ditt arbete @ Kräver ditt arbete stor social kompetens?,6
worksoci_4,SLOSH 12 non-working,,1.0,26_i,Om ditt arbete @ Kräver ditt arbete stor social kompetens?,6
workrepe_1,SLOSH 06 working,,,A3_k,Innebär ditt arbete att man gör samma sak om och om igen?,6
workrepe_2,SLOSH 08 working,,1.0,7_l,Innebär ditt arbete att man gör samma sak om och om igen?,6
workrepe_2,SLOSH 08 non-working,,1.0,7_l,Innebär ditt arbete att man gör samma sak om och om igen?,6
workrepe_3,SLOSH 10 working,,,25_n,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,6
workrepe_4,SLOSH 12 working,,,26_m,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,6
workrepe_5,SLOSH 14 working,,,31_j,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,6
workrepe_6,SLOSH 16 working,,,31_i,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,12
workrepe_7,SLOSH 18 working,,,28_i,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,12
workhow_1,SLOSH 06 working,,,A3_l,Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_2,SLOSH 08 working,,1.0,7_m,Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_2,SLOSH 08 non-working,,1.0,7_m,Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_3,SLOSH 10 working,,,25_o,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_4,SLOSH 12 working,,1.0,26_n,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_5,SLOSH 14 working,,1.0,31_k,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,12
workhow_5,SLOSH 14 non-working,,1.0,31_k,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,12
workhow_6,SLOSH 16 working,,1.0,31_j,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_6,SLOSH 16 non-working,,1.0,31_j,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,6
workhow_7,SLOSH 18 working,,1.0,28_j,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,12
workhow_7,SLOSH 18 non-working,,1.0,28_j,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,12
workwhat_1,SLOSH 06 working,,,A3_m,Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_2,SLOSH 08 working,,1.0,7_n,Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_2,SLOSH 08 non-working,,1.0,7_n,Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_3,SLOSH 10 working,,,25_p,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_4,SLOSH 12 working,,,26_o,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_5,SLOSH 14 working,,1.0,31_l,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_5,SLOSH 14 non-working,,1.0,31_l,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,6
workwhat_6,SLOSH 16 working,,1.0,31_k,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,12
workwhat_6,SLOSH 16 non-working,,1.0,31_k,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,12
workwhat_7,SLOSH 18 working,,1.0,28_k,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,12
workwhat_7,SLOSH 18 non-working,,1.0,28_k,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,12
workemot_1,SLOSH 06 working,,,A3_n,Försätter ditt arbete dig i känslomässigt svåra situationer?,6
workemot_2,SLOSH 08 working,,,7_o,Försätter ditt arbete dig i känslomässigt svåra situationer?,6
workemot_3,SLOSH 10 working,,,25_l,Om ditt arbete @ Försätter ditt arbete dig i känslomässigt svåra situationer?,6
workemot_4,SLOSH 12 working,,,26_k,Om ditt arbete @ Försätter ditt arbete dig i känslomässigt svåra situationer?,6
workemot_5,SLOSH 14 working,,,31_h,Om ditt arbete @ Försätter ditt arbete dig i känslomässigt svåra situationer?,12
workemot_6,SLOSH 16 working,,,34_a,Om känslomässiga krav @ Hamnar du genom ditt arbete i känslomässigt påfrestande situationer?,13
workemot_7,SLOSH 18 working,,,33_a,Om känslomässiga krav @ Hamnar du genom ditt arbete i känslomässigt påfrestande situationer?,14
workcrea_1,SLOSH 06 working,,,A3_o,Kräver ditt arbete att du själv måste skapa dina arbetsuppgifter?,6
session_1,SLOSH 06 working,,,A3_p,Finns det en dagordning och någon som håller i mötet på era sammanträden?,6
managyes_1,SLOSH 06 working,,,A3_q,Får du bekräftelse från din chef?,6
managyes_2,SLOSH 08 working,,,7_s,Får du bekräftelse från din chef?,6
manafeel_1,SLOSH 06 working,,,A3_r,"Talar du om för din chef vad du verkligen tänker, känner och vill?",6
manafeel_2,SLOSH 08 working,,,7_r,"Talar du om för din chef vad du verkligen tänker, känner och vill?",6
reflxwork_1,SLOSH 06 working,,,A3_s,Finns det i ditt arbete utrymme för reflektion och eftertanke?,6
reflxwork_2,SLOSH 08 working,,,7_p,Finns det i ditt arbete utrymme för reflektion och eftertanke?,6
reflxwork_3,SLOSH 10 working,,,25_f,Om ditt arbete @ Finns det i ditt arbete utrymme för reflektion och eftertanke?,6
reflxwork_4,SLOSH 12 working,,1.0,26_e,Om ditt arbete @ Finns det i ditt arbete utrymme för reflektion och eftertanke?,6
reflxwork_4,SLOSH 12 non-working,,1.0,26_e,Om ditt arbete @ Finns det i ditt arbete utrymme för reflektion och eftertanke?,6
coffee_1,SLOSH 06 working,,,A3_t,Brukar ni fika tillsammans i er arbetsgrupp?,6
coffee_2,SLOSH 08 working,,,7_t,Brukar ni fika tillsammans i er arbetsgrupp?,6
selfconf_1,SLOSH 06 working,,,A3_u,Kan du själv direkt avgöra om du gör ett bra arbete?,6
selfconf_2,SLOSH 08 working,,,7_q,Kan du själv direkt avgöra om du gör ett bra arbete?,6
overtid_1,SLOSH 06 working,,,A4_a,"Har du så mycket att göra att du blir tvungen att dra in på luncher, arbeta över eller ta med jobb hem?",15
overtid_2,SLOSH 08 working,,,9,"Har du så mycket att göra att du blir tvungen att dra in på luncher, arbetar över eller ta med jobb hem?",16
saknatid_1,SLOSH 06 working,,,A4_b,"Händer det att du efter arbetet är för trött för eller saknar tid för familjen, vänner eller fritidsaktiviteter?",15
problemp_1,SLOSH 06 working,,,A4_c,"Händer det att du genom arbetet kommer i nära kontakt med svårt sjuka
eller människor med allvarliga problem?",15
taktbest_1,SLOSH 06 working,,,A5_a,Har du möjlighet att själv bestämma din arbetstakt?,17
taktbest_2,SLOSH 08 working,,,10_a,Har du möjlighet att själv bestämma din arbetstakt?,17
inteprat_1,SLOSH 06 working,,,A5_b,Har du vissa tider så stressigt att du inte hinner prata om eller ens tänka på något annat än arbetet?,17
inteprat_2,SLOSH 08 working,,,10_b,Har du vissa tider så stressigt att du inte hinner prata om eller ens tänka på något annat än arbetet?,17
varabere_1,SLOSH 06 working,,,A5_c,"Är det någon del av tiden som du inte gör något annat än väntar och håller dig beredd, om något skulle inträffa?",17
pratapau_1,SLOSH 06 working,,,A5_d,Kan du ta korta pauser i stort sett när som helst för att prata?,17
koncentr_1,SLOSH 06 working,,,A5_e,Kräver arbetet hela din uppmärksamhet och koncentration?,17
koncentr_2,SLOSH 08 working,,,10_c,Kräver arbetet hela din uppmärksamhet och koncentration?,17
cooperate_1,SLOSH 06 working,,,A6,Hur fungerar samarbetet på er arbetsplats?,18
cooperate_2,SLOSH 08 working,,,8,Hur fungerar samarbetet på er arbetsplats?,18
cooperate_3,SLOSH 10 working,,,35,Hur fungerar samarbetet på er arbetsplats?,18
cooperate_4,SLOSH 12 working,,,36,Hur fungerar samarbetet på er arbetsplats?,18
cooperate_5,SLOSH 14 working,,,38,Hur fungerar samarbetet på er arbetsplats?,19
cooperate_6,SLOSH 16 working,,,42,Hur fungerar samarbetet på er arbetsplats?,18
cooperate_7,SLOSH 18 working,,,43,Hur fungerar samarbetet på er arbetsplats?,19
likvarbe_1,SLOSH 06 working,,,A7,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,20
likvarbe_2,SLOSH 08 working,,,13,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,20
likvarbe_3,SLOSH 10 working,,,18,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,20
likvarbe_4,SLOSH 12 working,,,18,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,20
likvarbe_4,SLOSH 12 non-working,,,18,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,20
likvarbe_5,SLOSH 14 working,,,20,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,21
likvarbe_6,SLOSH 16 working,,,19,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,20
likvarbe_7,SLOSH 18 working,,,17,Hur lätt skulle det vara för dig att utan att behöva flytta (byta bostad) få ett annat likvärdigt arbete?,21
salary_1,SLOSH 06 working,,,A8,"Jämfört med de andra anställda på din arbetsplats, hur stor löneförhöjning fick du under det gångna året?",22
hotelser_1,SLOSH 06 working,,,A9,Är du utsatt för våld eller hot om våld i ditt arbete?,23
hotelser_2,SLOSH 08 working,,1.0,23_a,Är du utsatt för våld eller hot om våld i ditt arbete?,24
hotelser_2,SLOSH 08 non-working,,1.0,23_a,Är du utsatt för våld eller hot om våld i ditt arbete?,24
