Kodlista,Kod,Svarstext
36,1,"Anställningsvillkor, t.ex. lön eller arbetstider"
36,.,Missing
37,1,Resurser och bemanning
37,.,Missing
38,1,Arbetskrav och arbetstempo
38,.,Missing
39,1,Arbetsuppgifter
39,.,Missing
40,1,Befogenheter och ansvar
40,.,Missing
41,1,Ledarskap och din närmaste chef
41,.,Missing
42,1,Dina arbetskamrater
42,.,Missing
43,1,"Patienter, kunder, klienter, passagerare, elever"
43,.,Missing
44,1,"Annat, ange vad :"
44,.,Missing
45,1,-
45,.,Missing
46,1,Helt betydelselös
46,2,Ganska betydelselös
46,3,Ganska betydelsefull
46,4,Mycket betydelsefull
46,.,Missing
47,1,Ja
47,2,Nej
47,3,Inte aktuellt
47,>11,slask
47,.,Missing
48,1,Mycket bra
48,2,Ganska bra
48,3,Ganska dålig
48,4,Mycket dålig
48,.,Missing
49,1,I mycket hög grad
49,2,I hög grad
49,3,I liten grad
49,4,I mycket liten grad/inte alls
49,.,Missing
50,1,"Ja, ofta"
50,2,"Ja, ibland"
50,3,"Nej, sällan"
50,4,"Nej, aldrig"
50,.,Missing
51,1,"Ja, ofta"
51,2,"Ja, ibland"
51,3,"Nej, sällan"
51,4,"Nej, aldrig"
51,>11,slask
51,.,Missing
52,1,I mycket hög grad
52,2,I hög grad
52,3,I liten grad
52,4,I mycket liten grad/inte alls
52,5,Ej aktuellt
52,.,Missing
53,1,Mycket sällan
53,2,Sällan
53,3,Ibland
53,4,Ofta
53,5,Mycket ofta
53,.,Missing
54,1,I mycket hög grad
54,2,I hög grad
54,3,I liten grad
54,4,I mycket liten grad/inte alls
54,5,Ej aktuell
54,.,Missing
55,1,I mycket hög grad
55,2,I hög grad
55,3,I liten grad
55,4,I mycket liten grad
55,5,Inte alls
55,.,Missing
56,1,Helt av samma åsikt
56,2,Delvis av samma åsikt
56,3,Varken av samma el. annan åsikt
56,4,Delvis av annan åsikt
56,5,Helt av annan åsikt
56,.,Missing
57,1,Helt av samma åsikt
57,2,Delvis av samma åsikt
57,3,Varken av samma el. annan åsikt
57,4,Delvis av annan åsikt
57,5,Helt av annan åsikt
57,6,Inte aktuellt
57,>11,slask
57,.,Missing
58,1,Helt av samma åsikt
58,2,Delvis av samma åsikt
58,3,Varken av samma el. annan åsikt
58,4,Delvis av annan åsikt
58,5,Helt av annan åsikt
58,6,Inte aktuellt
58,.,Missing
59,1,Håller helt med
59,2,Håller delvis med
59,3,Håller inte alls med
59,.,Missing
60,1,I mycket hög grad
60,2,I hög grad
60,3,I liten grad
60,4,I mycket liten grad/inte alls
60,5,"Använder ej telefon, e-post eller dator i jobbet"
60,.,Missing
61,1,I mycket hög grad
61,2,I hög grad
61,3,I liten grad
61,4,I mycket liten grad/inte alls
61,5,"Använder ej telefon, e-post eller dator i jobbet"
61,>11,slask
61,.,Missing
62,1,"Ja, datorn registrerar det mesta jag gör"
62,2,"Ja, det finns en viss datoriserad registering"
62,3,Nej
62,4,Vet ej
62,.,Missing
63,1,Dagligen
63,2,Särskilda veckor
63,3,Någon enstaka gång under året
63,4,Nästan aldrig/Aldrig (rapporterar inte)
63,5,Rapporterar på annat sätt
63,.,Missing
64,1,Arbetar inte alls på kontor
64,2,Arbetar mindre än 20 % av arbetstiden på kontoret
64,3,"Arbetar på kontor, men har ingen fast arbetsplats"
64,4,Har eget rum
64,5,Delar kontorsrum med 1-2 andra
64,6,Arbetar i kontorslandskap med 4-9 personer
64,7,Arbetar i kontorslandskap med 10-24 personer
64,8,Arbetar i kontorslandskap med 24 personer eller mer
64,.,Missing
65,1,Arbetar inte alls på kontor
65,2,Har eget rum
65,3,Vi är totalt 2-3 personer som delar rum
65,4,Vi är totalt 4-9 personer som delar rum
65,5,Vi är totalt 10-24 personer som delar rum
65,6,Arbetar i kontorslandskap med 25 personer eller fler
65,.,Missing
66,1,Arbetar inte alls på kontor
66,2,Har eget rum
66,3,Vi är totalt 2-3 personer som delar rum
66,4,Vi är totalt 4-9 personer som delar rum
66,5,Vi är totalt 10-24 personer som delar rum
66,6,Arbetar i kontorslandskap med 25 personer eller fler
66,>11,slask
66,.,Missing
67,1,Nästan hela tiden
67,2,Ungefär 3/4 av tiden
67,3,Halva tiden
67,4,Ungefär 1/4 av tiden
67,5,"Lite, kanske 1/10 av tiden"
67,6,"Nej, inte alls"
67,>11,slask
67,.,Missing
68,1,Mycket nöjd
68,2,Ganska nöjd
68,3,Ganska missnöjd
68,4,Mycket missnöjd
68,.,Missing
69,1,Inte alls
69,2,I ringa grad
69,3,I ganska hög grad
69,4,I hög grad
69,5,I mycket hög grad
69,.,Missing
70,1,Inte alls
70,2,I liten grad
70,3,I ganska hög grad
70,4,I hög grad
70,5,I mycket hög grad
70,6,Inte aktuellt
70,.,Missing
71,1,Ja
71,2,"Nej, men jag är nöjd just nu"
71,3,"Nej, jag är missnöjd med arbetsplatsen"
71,.,Missing
72,1,Ja
72,2,"Nej, men jag är nöjd just nu"
72,3,"Nej, jag är missnöjd med yrket"
72,.,Missing
73,1,Ja
73,2,"Nej, men jag är nöjd just nu"
73,3,"Nej, jag är missnöjd med företaget/arbetsplatsen"
73,.,Missing
74,1,Ja
74,2,"Nej, men jag är nöjd just nu"
74,3,"Nej, jag är missnöjd med arbetsplatsen"
74,>11,slask
74,.,Missing
75,1,Ja
75,2,"Nej, men jag är nöjd just nu"
75,3,"Nej, jag är missnöjd med yrket"
75,>11,slask
75,.,Missing
76,1,... mycket överkvalificerad
76,2,... är överkvalificerad i vissa avseenden
76,3,... är lagom kvalificerad
76,4,... skulle behöva ytterligare vissa kunskaper
76,5,... skulle behöva en hel del ytterligare kunskaper
76,.,Missing
77,1,... mycket överkvalificerad
77,2,... är överkvalificerad i vissa avseenden
77,3,... är lagom kvalificerad
77,4,... skulle behöva ytterligare vissa kunskaper
77,5,... skulle behöva en hel del ytterligare kunskaper
77,>11,slask
77,.,Missing
78,1,Aldrig
78,2,Någon gång per år
78,3,Någon gång per månad
78,4,Någon gång i veckan eller oftare
78,.,Missing
79,1,Aldrig
79,2,Någon gång per år
79,3,Någon gång per månad
79,4,Någon gång i veckan eller oftare
79,>11,slask
79,.,Missing
80,1,Mycket sällan
80,2,Ganska sällan
80,3,Ibland
80,4,Mycket ofta
80,5,Alltid
80,.,Missing
81,1,Ja
81,2,Nej
81,>11,slask
81,.,Missing
82,0-99,0-99
82,.,Missing
83,0-99,0-99
83,.,Missing
83,>99,slask
84,0-9999,0-9999
84,.,Missing
85,1,Har ingen arbetsgrupp
85,2,1-4 personer
85,3,5-9 personer
85,4,10-19 personer
85,5,20 personer eller fler
85,.,Missing
86,1,Har ingen arbetsgrupp
86,2,1-4 personer
86,3,5-9 personer
86,4,10-19 personer
86,5,20 personer eller fler
86,>11,slask
86,.,Missing
87,1,0-4 anställda
87,2,5-9 anställda
87,3,10-19 anställda
87,4,20-49 anställda
87,5,50-99 anställda
87,6,100-499 anställda
87,7,500 anställda eller fler
87,.,Missing
88,1,0
88,2,1-9
88,3,10 eller fler
88,>11,slask
88,.,Missing
89,1,0
89,2,1-9
89,3,10 eller fler
89,.,Missing
90,1,0
90,2,1-5
90,3,6-10
90,4,11-25
90,5,Fler än 25
90,.,Missing
91,1,Arbetare
91,2,Tjänsteman
91,3,Chef
91,4,Annat
91,.,Missing
92,1,Arbetare
92,2,Tjänsteman
92,3,Annat
92,.,Missing
93,1,Nej
93,2,"Ja, jag är arbetsledare men inte chef"
93,3,"Ja, jag är chef utan personalansvar"
93,4,"Ja, jag är chef med personalansvar"
93,.,Missing
94,1,Nej
94,2,"Ja, jag är arbetsledare men inte chef"
94,3,"Ja, jag är chef utan personalansvar"
94,4,"Ja, jag är chef med personalansvar"
94,>11,slask
94,.,Missing
95,1,0-4 personer
95,2,5-9 personer
95,3,10-19 personer
95,4,20-49 personer
95,5,50-99 personer
95,6,100-499 personer
95,7,500 personer eller fler
95,.,Missing
96,1,1-4 anställda
96,2,5-19 anställda
96,3,20-99 anställda
96,4,100 anställda eller fler
96,.,Missing
97,1,1-4 anställda
97,2,5-19 anställda
97,3,20-99 anställda
97,4,100 anställda eller fler
97,>11,slask
97,.,Missing
98,1,Heltid
98,2,"Deltid, ange hur många procent av heltid"
98,.,Missing
99,1,Heltid
99,2,Deltid
99,.,Missing
100,1,Heltid
100,2,Deltid med fast arbetstid
100,3,Timanställd/varierande anställning
100,4,Ej anställd (t.ex. jordbrukare)
100,.,Missing
101,1,Heltid
101,2,Deltid med fast arbetstid
101,3,Timanställd/varierande anställning
101,4,Ej anställd (t.ex. jordbrukare)
101,>11,slask
101,.,Missing
102,1,"Ja, jag är nöjd"
102,2,"Nej, jag skulle vilja arbeta fler timmar per vecka"
102,3,"Nej, jag skulle vilja arbeta färre timmar per vecka"
102,.,Missing
103,1,Egen företagare
103,2,Tillsvidareanställning/fast anställning
103,3,Vikariat
103,4,Projektanställning
103,5,Timanställning (under 20 timmar/vecka)
103,6,Annan anställningsform:
103,7,slask
103,.,Missing
104,1,Tillsvidareanställning/Fast anställning
104,2,Visstidsanställning/Projektanställning
104,3,Vikariat
104,4,Timanställning
104,5,Egenföretagare
104,6,Lantbrukare
104,7,Annan anställningsform:
104,8,slask
104,.,Missing
105,1,"Ja, har flextid (dvs. arbetstid som inte börjar eller slutar på exakta klockslag)"
105,2,"Ja, på annat sätt relativt fria arbetstider"
105,3,"Nej, kan i allmänhet inte påverka arbetstiden"
105,.,Missing
106,1,Privat företag
106,2,Förening/Ideell organisation
106,3,Kommunen
106,4,Landstinget/Regionen
106,5,Staten
106,6,"Annat, ange vad"
106,.,Missing
107,1,Privat företag
107,2,Förening/Ideell organisation
107,3,Kommunen
107,4,Landsting/Region
107,5,Staten
107,6,Eget företag/lantbruk
107,7,"Annat, ange vad"
107,.,Missing
108,1,Privat företag
108,2,Förening/Ideell organisation
108,3,Kommunen
108,4,Landsting/Region
108,5,Staten
108,6,Eget företag/lantbruk
108,7,"Annat, ange vad"
108,>11,slask
108,.,Missing
109,1,"Ja, stor"
109,2,"Ja, ganska stor"
109,3,"Nej, ganska liten"
109,4,"Nej, liten"
109,.,Missing
110,1,Dagarbete (ca 06–18)
110,2,Kvällsarbete (ca 18–22)
110,3,Nattarbete (ca 18–06)
110,4,"Skiftarbete, tvåskift"
110,5,"Skiftarbete, treskift"
110,6,Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema)
110,7,Förtroendearbetstid/oreglerad arbetstid
110,8,Annan arbetstid
110,9,slask
110,.,Missing
111,1,Dagarbete (ca 06–18)
111,2,Kvällsarbete (ca 18–22)
111,3,Nattarbete (ca 18–06)
111,4,"Skiftarbete, ej natt"
111,5,"Skiftarbete, inklusive natt"
111,6,"Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema), ej natt"
111,7,"Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema), inklusive natt"
111,8,Förtroendearbetstid/oreglerad arbetstid
111,9,Annan arbetstid
111,.,Missing
112,1,Dagarbete (ca 06–18)
112,2,Kvällsarbete (ca 18–22)
112,3,Nattarbete (ca 18–06)
112,4,"Skiftarbete, ej natt"
112,5,"Skiftarbete, inklusive natt"
112,6,"Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema), ej natt"
112,7,"Turlistearbete (dvs. arbetstid enligt tjänstgöringsschema), inklusive natt"
112,8,Förtroendearbetstid/oreglerad arbetstid
112,9,Annan arbetstid
112,>11,slask
112,.,Missing
113,1,Alltid
113,2,Ofta
113,3,Ibland
113,4,Sällan
113,5,Aldrig
113,.,Missing
114,1,Hela eller i stort sett hela arbetstiden
114,2,3-4 dagar i veckan
114,3,1-2 dagar i veckan
114,4,Några timmar i veckan
114,5,Arbetar inte hemma
114,.,Missing
115,1,"Fast lön (timlön, veckolön, månadslön)"
115,2,Lön som är kopplad till OB-ersättningar (inklusive jourersättning)
115,3,"Lön med tillägg, som är kopplat till eget resultat, t ex ackordslön, prestationslön"
115,4,"Lön med tillägg, som är kopplat till arbetsgrupps resultat, t ex ackordslön"
115,5,"Lön med tillägg, som är kopplat till företagets resultat"
115,6,Ren (100 %) prestationslön
115,7,Annan löneform
115,.,Missing
116,1,"Nej, ingen gång"
116,2,"Ja, en gång"
116,3,"Ja, 2-3 gånger"
116,4,"Ja, 4 gånger eller mer"
116,5,Ej aktuellt
116,.,Missing
117,1,"Nej, ingen gång"
117,2,"Ja, en gång"
117,3,"Ja, 2-3 gånger"
117,4,"Ja, 4 gånger eller mer"
117,.,Missing
117,1,"Nej, ingen gång (ej aktuellt)"
118,1,"Nej, ingen gång (ej aktuellt)"
118,2,"Ja, en gång"
118,3,"Ja, 2-3 gånger"
118,4,"Ja, 4 gånger eller mer"
118,>11,slask
118,.,Missing
119,1,I mycket hög grad
119,2,I hög grad
119,3,I liten grad
119,4,I mycket liten grad
119,5,Inte alls
119,>11,slask
119,.,Missing
120,1,Mycket bra
120,2,Ganska bra
120,3,Varken bra eller dåligt
120,4,Ganska dåligt
120,5,Mycket dåligt
120,.,Missing
121,1,Mycket bra
121,2,Ganska bra
121,3,Varken bra eller dåligt
121,4,Ganska dåligt
121,5,Mycket dåligt
121,>11,slask
121,.,Missing
122,1,Nej
122,2,"Ja, men påverkar inte alls mitt liv"
122,3,"Ja, påverkar mitt liv lite"
122,4,"Ja, påverkar mitt liv mycket"
122,.,Missing
123,1,Nej
123,2,"Ja, men det påverkar inte alls mitt liv"
123,3,"Ja, det påverkar mitt liv lite"
123,4,"Ja, det påverkar mitt liv mycket"
123,.,Missing
124,1,Nej
124,2,"Ja, men påverkar inte alls mitt liv"
124,3,"Ja, påverkar mitt liv lite"
124,4,"Ja, påverkar mitt liv mycket"
124,>11,slask
124,.,Missing
125,1,Alltid
125,2,Ofta
125,3,Ibland
125,4,Sällan
125,5,Aldrig
125,>11,slask
125,.,Missing
126,1,Varje dag
126,2,Några gånger per vecka
126,3,Någon gång per vecka
126,4,Några gånger per månad
126,5,Någon gång per månad
126,6,Några gånger per år eller mindre/Aldrig
126,.,Missing
127,1,Mycket god
127,2,Ganska god
127,3,Varken god eller dålig
127,4,Ganska dålig
127,5,Mycket dålig
127,.,Missing
128,1,Mycket god
128,2,Ganska god
128,3,Varken god eller dålig
128,4,Ganska dålig
128,5,Mycket dålig
128,>11,slask
128,.,Missing
129,0-999,0-999
129,.,Missing
130,1,Ingen gång
130,2,En gång
130,3,Två till tre gånger
130,4,Fyra gånger eller mer
130,.,Missing
131,1,Ingen gång
131,2,En gång
131,3,Två till tre gånger
131,4,Fyra gånger eller mer
131,>11,slask
131,.,Missing
