,Variabel,Enkät,Dubbelkodning,Beskrivning,Enkättext,Kodlista,Itemnr
27,permitte_2,SLOSH 08 working,1.0,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,janej1,5_a
28,permitte_2,SLOSH 08 non-working,0.0,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,janej1,5_a
29,permitte_3,SLOSH 10 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,nejja1,15_b
30,permitte_4,SLOSH 12 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,nejja1,15_b
31,permitte_5,SLOSH 14 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,grad1,21_b
32,permitte_6,SLOSH 16 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,grad2_1,20_b
33,permitte_7,SLOSH 18 working,,,Förekommer någon av följande risker eller hot för dig i ditt arbete? @ Hot om permittering eller uppsägning?,grad2_1,18_b
34,besttide_1,SLOSH 06 working,,,Kan du delvis själv bestämma när olika arbetsuppgifter skall göras (t ex genom att välja att jobba lite fortare vissa dagar och ta det lite lugnare andra dagar)?,alltid1,A2_a
35,besttide_2,SLOSH 08 working,,,Kan du delvis själv bestämma när olika arbetsuppgifter skall göras (t ex genom att välja att jobba lite fortare vissa dagar och ta det lite lugnare andra dagar)?,alltid1,11_a
36,bestuppl_1,SLOSH 06 working,,,"Händer det att du är med och beslutar om uppläggningen av ditt arbete (t.ex. vad som skall göras, hur det skall göras eller vilka som skall arbeta tillsammans med dig)?",alltid1,A2_b
37,bestuppl_2,SLOSH 08 working,,,"Händer det att du är med och beslutar om uppläggningen av ditt arbete (t.ex. vad som skall göras, hur det skall göras eller vilka som skall arbeta tillsammans med dig)?",alltid1,11_b
38,cheferst_1,SLOSH 06 working,,,"Har du möjlighet att få stöd och uppmuntran från chefer, när arbetet känns besvärligt?",alltid1,A2_c
39,cheferst_2,SLOSH 08 working,,,"Har du möjlighet att få stöd och uppmuntran från chefer, när arbetet känns besvärligt?",alltid1,33_a
40,kamratst_1,SLOSH 06 working,,,"Har du möjlighet att få stöd och uppmuntran från arbetskamrater, när arbetet känns besvärligt?",alltid1,A2_d
41,kamratst_2,SLOSH 08 working,,,"Har du möjlighet att få stöd och uppmuntran från arbetskamrater, när arbetet känns besvärligt?",alltid1,33_b
42,hogtitak_1,SLOSH 06 working,,,Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,alltid1,A2_e
43,hogtitak_2,SLOSH 08 working,,,Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,alltid1,11_c
44,hogtitak_3,SLOSH 10 working,,,Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,alltid1,33
45,hogtitak_4,SLOSH 12 working,,,Om synpunkter på arbetsförhållanden @ Drar du dig för att på arbetsplatsen framföra kritiska synpunkter på dina arbetsförhållanden?,alltid1,34
46,workfast_1,SLOSH 06 working,,,Kräver ditt arbete att du arbetar fort?,ofta1,A3_a
47,workfast_2,SLOSH 08 working,1.0,,Kräver ditt arbete att du arbetar mycket fort?,ofta1,7_a
48,workfast_2,SLOSH 08 non-working,0.0,,Kräver ditt arbete att du arbetar mycket fort?,ofta1,7_a
49,workfast_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1,25_a
50,workfast_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1,26_a
51,workfast_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1,26_a
52,workfast_5,SLOSH 14 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1,31_a
53,workfast_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1,31_a
54,workfast_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1_1,30_a
55,workfast_6,SLOSH 16 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1_1,30_a
56,workfast_7,SLOSH 18 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1_1,28_a
57,workfast_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket fort?,ofta1_1,28_a
58,workhard_1,SLOSH 06 working,,,Kräver ditt arbete att du arbetar mycket hårt?,ofta1,A3_b
59,workhard_2,SLOSH 08 working,1.0,,Kräver ditt arbete att du arbetar mycket hårt?,ofta1,7_b
60,workhard_2,SLOSH 08 non-working,0.0,,Kräver ditt arbete att du arbetar mycket hårt?,ofta1,7_b
61,workhard_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1,25_b
62,workhard_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1,26_b
63,workhard_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1,26_b
64,workhard_5,SLOSH 14 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1,31_b
65,workhard_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1,31_b
66,workhard_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1_1,30_b
67,workhard_6,SLOSH 16 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1_1,30_b
68,workhard_7,SLOSH 18 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1_1,28_b
69,workhard_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du arbetar mycket hårt?,ofta1_1,28_b
70,workeffo_1,SLOSH 06 working,,,Kräver ditt arbete en för stor arbetsinsats?,ofta1,A3_c
71,workeffo_2,SLOSH 08 working,,,Kräver ditt arbete en för stor arbetsinsats?,ofta1,7_c
72,workeffo_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1,25_c
73,workeffo_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1,26_c
74,workeffo_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1,26_c
75,workeffo_5,SLOSH 14 working,1.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1_1,31_c
76,workeffo_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1_1,31_c
77,workeffo_6,SLOSH 16 working,1.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1_1,30_c
78,workeffo_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1_1,30_c
79,workeffo_7,SLOSH 18 working,1.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1_1,28_c
80,workeffo_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete en för stor arbetsinsats?,ofta1_1,28_c
81,workothe_1,SLOSH 06 working,,,Kräver ditt arbete att du ska leva dig in i andra människors situation?,ofta1,A3_d
82,workothe_2,SLOSH 08 working,,,Kräver ditt arbete att du ska leva dig in i andra människors situation?,ofta1,7_d
83,workothe_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete att du ska leva dig in i andra människors situation?,ofta1,25_k
84,workothe_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete att du ska leva dig in i andra människors situation?,ofta1,26_j
85,workothe_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete att du ska leva dig in i andra människors situation?,ofta1,26_j
86,worktime_1,SLOSH 06 working,,,Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1,A3_e
87,worktime_2,SLOSH 08 working,1.0,,Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1,7_f
88,worktime_2,SLOSH 08 non-working,0.0,,Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1,7_f
89,worktime_3,SLOSH 10 working,,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1,25_e
90,worktime_4,SLOSH 12 working,1.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1,26_d
91,worktime_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1,26_d
92,worktime_5,SLOSH 14 working,1.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1_1,31_d
93,worktime_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1_1,31_d
94,worktime_6,SLOSH 16 working,1.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1_1,30_d
95,worktime_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1_1,30_d
96,worktime_7,SLOSH 18 working,1.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1_1,28_d
97,worktime_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Har du tillräckligt med tid för att hinna med arbetsuppgifterna?,ofta1_1,28_d
98,workcntr_1,SLOSH 06 working,,,Förekommer det motstridiga krav i ditt arbete?,ofta1,A3_f
99,workcntr_2,SLOSH 08 working,1.0,,Förekommer det motstridiga krav i ditt arbete?,ofta1,7_g
100,workcntr_2,SLOSH 08 non-working,0.0,,Förekommer det motstridiga krav i ditt arbete?,ofta1,7_g
101,workcntr_3,SLOSH 10 working,,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1,25_g
102,workcntr_4,SLOSH 12 working,1.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1,26_f
103,workcntr_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1,26_f
104,workcntr_5,SLOSH 14 working,1.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1_1,31_e
105,workcntr_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1_1,31_e
106,workcntr_6,SLOSH 16 working,1.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1_1,30_e
107,workcntr_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1_1,30_e
108,workcntr_7,SLOSH 18 working,1.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1_1,28_e
109,workcntr_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Förekommer det ofta motstridiga krav i ditt arbete?,ofta1_1,28_e
110,worklear_1,SLOSH 06 working,,,Får du lära dig nya saker i ditt arbete?,ofta1,A3_g
111,worklear_2,SLOSH 08 working,1.0,,Får du lära dig nya saker i ditt arbete?,ofta1,7_h
112,worklear_2,SLOSH 08 non-working,0.0,,Får du lära dig nya saker i ditt arbete?,ofta1,7_h
113,worklear_3,SLOSH 10 working,,,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,ofta1,25_m
114,worklear_4,SLOSH 12 working,,,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,ofta1,26_l
115,worklear_5,SLOSH 14 working,,,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,ofta1_1,31_i
116,worklear_6,SLOSH 16 working,,,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,ofta1,30_h
117,worklear_7,SLOSH 18 working,,,Om ditt arbete @ Får du lära dig nya saker i ditt arbete?,ofta1_1,28_h
118,workskil_1,SLOSH 06 working,,,Kräver ditt arbete skicklighet?,ofta1,A3_h
119,workskil_2,SLOSH 08 working,1.0,,Kräver ditt arbete skicklighet?,ofta1,7_i
120,workskil_2,SLOSH 08 non-working,0.0,,Kräver ditt arbete skicklighet?,ofta1,7_i
121,workskil_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1,25_h
122,workskil_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1,26_g
123,workskil_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1,26_g
124,workskil_5,SLOSH 14 working,1.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1_1,31_f
125,workskil_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1_1,31_f
126,workskil_6,SLOSH 16 working,1.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1_1,30_f
127,workskil_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1_1,30_f
128,workskil_7,SLOSH 18 working,1.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1_1,28_f
129,workskil_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete skicklighet?,ofta1_1,28_f
130,workinge_1,SLOSH 06 working,,,Kräver ditt arbete påhittighet?,ofta1,A3_i
131,workinge_2,SLOSH 08 working,1.0,,Kräver ditt arbete påhittighet?,ofta1,7_j
132,workinge_2,SLOSH 08 non-working,0.0,,Kräver ditt arbete påhittighet?,ofta1,7_j
133,workinge_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1,25_i
134,workinge_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1,26_h
135,workinge_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1,26_h
136,workinge_5,SLOSH 14 working,1.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1_1,31_g
137,workinge_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1_1,31_g
138,workinge_6,SLOSH 16 working,1.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1,30_g
139,workinge_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1,30_g
140,workinge_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1_1,28_g
141,workinge_7,SLOSH 18 working,1.0,,Om ditt arbete @ Kräver ditt arbete påhittighet?,ofta1_1,28_g
142,worksoci_1,SLOSH 06 non-working,0.0,,Kräver ditt arbete stor social kompetens?,ofta1,A3_j
143,worksoci_1,SLOSH 06 working,,,Kräver ditt arbete stor social kompetens?,ofta1,A3_j
144,worksoci_2,SLOSH 08 working,1.0,,Kräver ditt arbete stor social kompetens?,ofta1,7_k
145,worksoci_2,SLOSH 08 non-working,0.0,,Kräver ditt arbete stor social kompetens?,ofta1,7_k
146,worksoci_3,SLOSH 10 working,,,Om ditt arbete @ Kräver ditt arbete stor social kompetens?,ofta1,25_j
147,worksoci_4,SLOSH 12 working,1.0,,Om ditt arbete @ Kräver ditt arbete stor social kompetens?,ofta1,26_i
148,worksoci_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Kräver ditt arbete stor social kompetens?,ofta1,26_i
149,workrepe_1,SLOSH 06 working,,,Innebär ditt arbete att man gör samma sak om och om igen?,ofta1,A3_k
150,workrepe_2,SLOSH 08 working,1.0,,Innebär ditt arbete att man gör samma sak om och om igen?,ofta1,7_l
151,workrepe_2,SLOSH 08 non-working,0.0,,Innebär ditt arbete att man gör samma sak om och om igen?,ofta1,7_l
152,workrepe_3,SLOSH 10 working,,,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,ofta1,25_n
153,workrepe_4,SLOSH 12 working,,,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,ofta1,26_m
154,workrepe_5,SLOSH 14 working,,,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,ofta1,31_j
155,workrepe_6,SLOSH 16 working,,,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,ofta1_1,31_i
156,workrepe_7,SLOSH 18 working,,,Om ditt arbete @ Innebär ditt arbete att man gör samma sak om och om igen?,ofta1_1,28_i
157,workhow_1,SLOSH 06 working,,,Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,A3_l
158,workhow_2,SLOSH 08 working,1.0,,Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,7_m
159,workhow_2,SLOSH 08 non-working,0.0,,Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,7_m
160,workhow_3,SLOSH 10 working,,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,25_o
161,workhow_4,SLOSH 12 working,1.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,26_n
162,workhow_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,26_n
163,workhow_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1_1,31_k
164,workhow_5,SLOSH 14 working,1.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1_1,31_k
165,workhow_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,31_j
166,workhow_6,SLOSH 16 working,1.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1,31_j
167,workhow_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1_1,28_j
168,workhow_7,SLOSH 18 working,1.0,,Om ditt arbete @ Har du frihet att bestämma hur ditt arbete ska utföras?,ofta1_1,28_j
169,workwhat_1,SLOSH 06 non-working,0.0,,Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,A3_m
170,workwhat_1,SLOSH 06 working,,,Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,A3_m
171,workwhat_2,SLOSH 08 working,1.0,,Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,7_n
172,workwhat_2,SLOSH 08 non-working,0.0,,Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,7_n
173,workwhat_3,SLOSH 10 working,,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,25_p
174,workwhat_4,SLOSH 12 working,,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,26_o
175,workwhat_5,SLOSH 14 working,1.0,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,31_l
176,workwhat_5,SLOSH 14 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1,31_l
177,workwhat_6,SLOSH 16 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1_1,31_k
178,workwhat_6,SLOSH 16 working,1.0,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1_1,31_k
179,workwhat_7,SLOSH 18 working,1.0,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1_1,28_k
180,workwhat_7,SLOSH 18 non-working,0.0,,Om ditt arbete @ Har du frihet att bestämma vad som ska utföras i ditt arbete?,ofta1_1,28_k
181,workemot_1,SLOSH 06 working,,,Försätter ditt arbete dig i känslomässigt svåra situationer?,ofta1,A3_n
182,workemot_2,SLOSH 08 working,,,Försätter ditt arbete dig i känslomässigt svåra situationer?,ofta1,7_o
183,workemot_3,SLOSH 10 working,,,Om ditt arbete @ Försätter ditt arbete dig i känslomässigt svåra situationer?,ofta1,25_l
184,workemot_4,SLOSH 12 working,,,Om ditt arbete @ Försätter ditt arbete dig i känslomässigt svåra situationer?,ofta1,26_k
185,workemot_5,SLOSH 14 working,,,Om ditt arbete @ Försätter ditt arbete dig i känslomässigt svåra situationer?,ofta1_1,31_h
186,workemot_6,SLOSH 16 working,,,Om känslomässiga krav @ Hamnar du genom ditt arbete i känslomässigt påfrestande situationer?,alltid2,34_a
187,workemot_7,SLOSH 18 working,,,Om känslomässiga krav @ Hamnar du genom ditt arbete i känslomässigt påfrestande situationer?,alltid2_1,33_a
188,workcrea_1,SLOSH 06 working,,,Kräver ditt arbete att du själv måste skapa dina arbetsuppgifter?,ofta1,A3_o
189,session_1,SLOSH 06 working,,,Finns det en dagordning och någon som håller i mötet på era sammanträden?,ofta1,A3_p
190,managyes_1,SLOSH 06 working,,,Får du bekräftelse från din chef?,ofta1,A3_q
191,managyes_2,SLOSH 08 working,,,Får du bekräftelse från din chef?,ofta1,7_s
192,manafeel_1,SLOSH 06 working,,,"Talar du om för din chef vad du verkligen tänker, känner och vill?",ofta1,A3_r
193,manafeel_2,SLOSH 08 working,,,"Talar du om för din chef vad du verkligen tänker, känner och vill?",ofta1,7_r
194,reflxwork_1,SLOSH 06 working,,,Finns det i ditt arbete utrymme för reflektion och eftertanke?,ofta1,A3_s
195,reflxwork_2,SLOSH 08 working,,,Finns det i ditt arbete utrymme för reflektion och eftertanke?,ofta1,7_p
196,reflxwork_3,SLOSH 10 working,,,Om ditt arbete @ Finns det i ditt arbete utrymme för reflektion och eftertanke?,ofta1,25_f
197,reflxwork_4,SLOSH 12 working,1.0,,Om ditt arbete @ Finns det i ditt arbete utrymme för reflektion och eftertanke?,ofta1,26_e
198,reflxwork_4,SLOSH 12 non-working,0.0,,Om ditt arbete @ Finns det i ditt arbete utrymme för reflektion och eftertanke?,ofta1,26_e
199,coffee_1,SLOSH 06 working,,,Brukar ni fika tillsammans i er arbetsgrupp?,ofta1,A3_t
200,coffee_2,SLOSH 08 working,,,Brukar ni fika tillsammans i er arbetsgrupp?,ofta1,7_t
201,selfconf_1,SLOSH 06 working,,,Kan du själv direkt avgöra om du gör ett bra arbete?,ofta1,A3_u
202,selfconf_2,SLOSH 08 working,,,Kan du själv direkt avgöra om du gör ett bra arbete?,ofta1,7_q
203,overtid_1,SLOSH 06 working,,,"Har du så mycket att göra att du blir tvungen att dra in på luncher, arbeta över eller ta med jobb hem?",varjedag1,A4_a
204,overtid_2,SLOSH 08 working,,,"Har du så mycket att göra att du blir tvungen att dra in på luncher, arbetar över eller ta med jobb hem?",varjedag2,9
205,saknatid_1,SLOSH 06 working,,,"Händer det att du efter arbetet är för trött för eller saknar tid för familjen, vänner eller fritidsaktiviteter?",varjedag1,A4_b
206,problemp_1,SLOSH 06 working,,,"Händer det att du genom arbetet kommer i nära kontakt med svårt sjuka
eller människor med allvarliga problem?",varjedag1,A4_c
207,taktbest_1,SLOSH 06 working,,,Har du möjlighet att själv bestämma din arbetstakt?,helatiden1,A5_a
208,taktbest_2,SLOSH 08 working,,,Har du möjlighet att själv bestämma din arbetstakt?,helatiden1,10_a
209,inteprat_1,SLOSH 06 working,,,Har du vissa tider så stressigt att du inte hinner prata om eller ens tänka på något annat än arbetet?,helatiden1,A5_b
210,inteprat_2,SLOSH 08 working,,,Har du vissa tider så stressigt att du inte hinner prata om eller ens tänka på något annat än arbetet?,helatiden1,10_b
